Dates,REUR,RAUD,RUSD,RKRW
12/31/99,0.0328,#N/A,0.0598,0.0475
01/03/00,0.03305,0.054,0.0601,0.0475
01/04/00,0.0333,0.0553,0.061,0.0475
01/05/00,0.0334,0.0545,0.06,0.0475
01/06/00,0.0332,0.0549,0.0599,0.0475
01/07/00,0.0331,0.0552,0.0592,0.0475
01/10/00,0.03305,0.0547,0.0601,0.0475
01/11/00,0.033,0.0554,0.0594,0.0475
01/12/00,0.0331,0.0549,0.0597,0.0475
01/13/00,0.033,0.055,0.0596,0.0475
01/14/00,0.0328,0.0549,0.0599,0.0475
01/17/00,0.03305,0.0545,0.0596,0.0475
01/18/00,0.03305,0.0547,0.0602,0.0475
01/19/00,0.03295,0.0553,0.0599,0.0475
01/20/00,0.0327,0.0556,0.0602,0.0475
01/21/00,0.03305,0.0552,0.0598,0.0475
01/24/00,0.03315,0.0554,0.0598,0.0475
01/25/00,0.0328,0.0555,0.0599,0.0475
01/26/00,0.0328,0.0557,0.0598,0.0475
01/27/00,0.033,0.0562,0.0599,0.0475
01/28/00,0.0349,0.0558,0.0599,0.0475
01/31/00,0.03475,0.0558,0.0602,0.0475
02/01/00,0.0349,0.056,0.0608,0.0475
02/02/00,0.0348,0.0571,0.0602,0.0475
02/03/00,0.0345,0.0568,0.0603,0.0475
02/04/00,0.0344,0.0569,0.0604,0.0475
02/07/00,0.03495,0.0572,0.0598,0.0475
02/08/00,0.0344,0.0566,0.0608,0.0475
02/09/00,0.0345,0.057,0.0608,0.0475
02/10/00,0.0345,0.0561,0.0602,0.05
02/11/00,0.0345,0.0567,0.0597,0.05
02/14/00,0.03505,0.0567,0.0596,0.05
02/15/00,0.03505,0.057,0.0601,0.05
02/16/00,0.03475,0.0572,0.0608,0.05
02/17/00,0.0347,0.0571,0.0608,0.05
02/18/00,0.0355,0.0562,0.0606,0.05
02/21/00,0.036,0.0565,0.0609,0.05
02/22/00,0.0359,0.0564,0.0605,0.05
02/23/00,0.03625,0.0569,0.06,0.05
02/24/00,0.0353,0.0568,0.0609,0.05
02/25/00,0.03605,0.056,0.0606,0.05
02/28/00,0.03615,0.0572,0.0602,0.05
02/29/00,0.0361,0.0564,0.0608,0.05
03/01/00,0.03645,0.057,0.0605,0.05
03/02/00,0.0359,0.057,0.0604,0.05
03/03/00,0.0358,0.0561,0.0606,0.05
03/06/00,0.03645,0.0573,0.0607,0.05
03/07/00,0.03645,0.0572,0.0608,0.05
03/08/00,0.0366,0.0571,0.0609,0.05
03/09/00,0.03705,0.0572,0.0611,0.05
03/10/00,0.0373,0.057,0.0611,0.05
03/13/00,0.0375,0.0575,0.0609,0.05
03/14/00,0.03785,0.0567,0.0616,0.05
03/15/00,0.03805,0.0565,0.0616,0.05
03/16/00,0.03765,0.0566,0.0618,0.05
03/17/00,0.03755,0.0567,0.0618,0.05
03/20/00,0.03765,0.0569,0.0623,0.05
03/21/00,0.0375,0.0569,0.0619,0.05
03/22/00,0.03755,0.057,0.0622,0.05
03/23/00,0.0374,0.0573,0.0618,0.05
03/24/00,0.03775,0.0585,0.0619,0.05
03/27/00,0.03795,0.0582,0.0624,0.05
03/28/00,0.0378,0.0584,0.0622,0.05
03/29/00,0.03815,0.0585,0.0626,0.05
03/30/00,0.03825,0.0587,0.0628,0.05
03/31/00,0.03825,0.0584,0.0629,0.05
04/03/00,0.03825,0.0589,0.0629,0.05
04/04/00,0.0382,0.059,0.0627,0.05
04/05/00,0.0381,0.059,0.0625,0.05
04/06/00,0.03815,0.059,0.0628,0.05
04/07/00,0.0384,0.0595,0.0627,0.05
04/10/00,0.03865,0.059,0.0622,0.05
04/11/00,0.03925,0.0594,0.0627,0.05
04/12/00,0.0389,0.0588,0.0627,0.05
04/13/00,0.039,0.0584,0.063,0.05
04/14/00,0.0391,0.0582,0.0629,0.05
04/17/00,0.03915,0.0585,0.0627,0.05
04/18/00,0.039,0.0585,0.0623,0.05
04/19/00,0.0393,0.0585,0.0624,0.05
04/20/00,0.04,0.0586,0.0631,0.05
04/21/00,0.03965,#N/A,0.0631,0.05
04/24/00,0.03965,#N/A,0.0624,0.05
04/25/00,0.0397,0.059,0.0628,0.05
04/26/00,0.0399,0.0595,0.0639,0.05
04/27/00,0.0404,0.0602,0.0646,0.05
04/28/00,0.0408,0.061,0.0644,0.05
05/01/00,0.0407,0.0619,0.0647,0.05
05/02/00,0.042,0.061,0.0656,0.05
05/03/00,0.042,0.0612,0.0656,0.05
05/04/00,0.04285,0.0612,0.0668,0.05
05/05/00,0.043,0.0616,0.0665,0.05
05/08/00,0.04305,0.0614,0.0668,0.05
05/09/00,0.0426,0.0614,0.067,0.05
05/10/00,0.04285,0.061,0.0671,0.05
05/11/00,0.04305,0.0618,0.0673,0.05
05/12/00,0.0431,0.0615,0.0673,0.05
05/15/00,0.0431,0.0615,0.0672,0.05
05/16/00,0.0428,0.062,0.0702,0.05
05/17/00,0.044,0.0627,0.0677,0.05
05/18/00,0.0444,0.063,0.0679,0.05
05/19/00,0.0444,0.0621,0.0681,0.05
05/22/00,0.0443,0.062,0.0672,0.05
05/23/00,0.04455,0.0612,0.068,0.05
05/24/00,0.044,0.0614,0.0676,0.05
05/25/00,0.0436,0.0615,0.0681,0.05
05/26/00,0.0434,0.0612,0.0676,0.05
05/29/00,0.0439,0.0618,0.0676,0.05
05/30/00,0.04395,0.0622,0.0685,0.05
05/31/00,0.0443,0.0613,0.0681,0.05
06/01/00,0.04425,0.0606,0.0684,0.05
06/02/00,0.0446,0.0607,0.0676,0.05
06/05/00,0.044,0.0609,0.0678,0.05
06/06/00,0.044,0.0609,0.0676,0.05
06/07/00,0.0437,0.0607,0.0675,0.05
06/08/00,0.0454,0.0613,0.0679,0.05
06/09/00,0.0452,0.0609,0.0678,0.05
06/12/00,0.0451,0.0609,0.068,0.05
06/13/00,0.045,0.0608,0.0679,0.05
06/14/00,0.0448,0.0611,0.0676,0.05
06/15/00,0.0446,0.061,0.0674,0.05
06/16/00,0.0445,0.061,0.0674,0.05
06/19/00,0.0448,0.0608,0.067,0.05
06/20/00,0.0444,0.0609,0.0674,0.05
06/21/00,0.0447,0.0609,0.0668,0.05
06/22/00,0.0452,0.061,0.0676,0.05
06/23/00,0.0454,0.0609,0.0671,0.05
06/26/00,0.0449,0.0606,0.0677,0.05
06/27/00,0.0451,0.0609,0.0672,0.05
06/28/00,0.0452,0.0606,0.0675,0.05
06/29/00,0.045,0.0604,0.0674,0.05
06/30/00,0.0452,0.0615,0.0676,0.05
07/03/00,0.0446,0.0604,0.0672,0.05
07/04/00,0.0455,0.0603,0.0671,0.05
07/05/00,0.0452,0.0602,0.0671,0.05
07/06/00,0.0452,0.0603,0.0662,0.05
07/07/00,0.0449,0.0603,0.0666,0.05
07/10/00,0.0452,0.0605,0.0669,0.05
07/11/00,0.04535,0.0604,0.0669,0.05
07/12/00,0.04515,0.0602,0.067,0.05
